year,cause,sex,deaths
2014,Acute myocardial infarction (I21),persons,8675.0
2014,Cerebrovascular diseases (I60-I69),persons,10745.0
2014,Chronic ischaemic heart disease (I25),persons,11191.0
2014,Chronic lower respiratory diseases (J40-J47),persons,7891.0
2014,Ischaemic heart diseases (I20-I25),persons,20251.0
2014,Malignant neoplasm of bronchus and lung (C34),persons,8289.0
2014,Malignant neoplasms  (C00-C97),persons,43801.0
2014,Malignant neoplasms of digestive organs  (C15-C26),persons,12468.0
2014,Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),persons,8614.0
2014,"Organic, including symptomatic, mental disorders (F00-F09)",persons,8671.0
2014,Other chronic obstructive pulmonary disease (J44),persons,6326.0
2014,Other degenerative diseases of the nervous system (G30-G32),persons,4190.0
2014,Other external causes of accidental injury (W00-X59),persons,5005.0
2014,Other forms of heart disease (I30-I52),persons,8741.0
2014,Unspecified dementia (F03),persons,7197.0
2015,Acute myocardial infarction (I21),persons,8358.0
2015,Cerebrovascular diseases (I60-I69),persons,10716.0
2015,Chronic ischaemic heart disease (I25),persons,10947.0
2015,Chronic lower respiratory diseases (J40-J47),persons,7923.0
2015,Ischaemic heart diseases (I20-I25),persons,19698.0
2015,Malignant neoplasm of bronchus and lung (C34),persons,8422.0
2015,Malignant neoplasms  (C00-C97),persons,44870.0
2015,Malignant neoplasms of digestive organs  (C15-C26),persons,12975.0
2015,Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),persons,8707.0
2015,"Organic, including symptomatic, mental disorders (F00-F09)",persons,9021.0
2015,Other chronic obstructive pulmonary disease (J44),persons,6340.0
2015,Other degenerative diseases of the nervous system (G30-G32),persons,4294.0
2015,Other external causes of accidental injury (W00-X59),persons,5342.0
2015,Other forms of heart disease (I30-I52),persons,9068.0
2015,Unspecified dementia (F03),persons,7512.0
2016,Acute myocardial infarction (I21),persons,8009.0
2016,Cerebrovascular diseases (I60-I69),persons,10511.0
2016,Chronic ischaemic heart disease (I25),persons,10945.0
2016,Chronic lower respiratory diseases (J40-J47),persons,8156.0
2016,Ischaemic heart diseases (I20-I25),persons,19327.0
2016,Malignant neoplasm of bronchus and lung (C34),persons,8405.0
2016,Malignant neoplasms  (C00-C97),persons,45489.0
2016,Malignant neoplasms of digestive organs  (C15-C26),persons,13286.0
2016,Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),persons,8699.0
2016,"Organic, including symptomatic, mental disorders (F00-F09)",persons,9581.0
2016,Other chronic obstructive pulmonary disease (J44),persons,6560.0
2016,Other degenerative diseases of the nervous system (G30-G32),persons,4650.0
2016,Other external causes of accidental injury (W00-X59),persons,5835.0
2016,Other forms of heart disease (I30-I52),persons,8941.0
2016,Unspecified dementia (F03),persons,7977.0
2017,Acute myocardial infarction (I21),persons,8017.0
2017,Cerebrovascular diseases (I60-I69),persons,10462.0
2017,Chronic ischaemic heart disease (I25),persons,10796.0
2017,Chronic lower respiratory diseases (J40-J47),persons,8652.0
2017,Ischaemic heart diseases (I20-I25),persons,19212.0
2017,Malignant neoplasm of bronchus and lung (C34),persons,8438.0
2017,Malignant neoplasms  (C00-C97),persons,46214.0
2017,Malignant neoplasms of digestive organs  (C15-C26),persons,13503.0
2017,Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),persons,8720.0
2017,"Organic, including symptomatic, mental disorders (F00-F09)",persons,9991.0
2017,Other chronic obstructive pulmonary disease (J44),persons,7055.0
2017,Other degenerative diseases of the nervous system (G30-G32),persons,5052.0
2017,Other external causes of accidental injury (W00-X59),persons,5886.0
2017,Other forms of heart disease (I30-I52),persons,9311.0
2017,Unspecified dementia (F03),persons,8399.0
2018,Acute myocardial infarction (I21),persons,7335.0
2018,Cerebrovascular diseases (I60-I69),persons,10041.0
2018,Chronic ischaemic heart disease (I25),persons,10378.0
2018,Chronic lower respiratory diseases (J40-J47),persons,7940.0
2018,Ischaemic heart diseases (I20-I25),persons,18081.0
2018,Malignant neoplasm of bronchus and lung (C34),persons,8623.0
2018,Malignant neoplasms  (C00-C97),persons,46773.0
2018,Malignant neoplasms of digestive organs  (C15-C26),persons,13625.0
2018,Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),persons,8916.0
2018,"Organic, including symptomatic, mental disorders (F00-F09)",persons,9870.0
2018,Other chronic obstructive pulmonary disease (J44),persons,6469.0
2018,Other degenerative diseases of the nervous system (G30-G32),persons,4946.0
2018,Other external causes of accidental injury (W00-X59),persons,6139.0
2018,Other forms of heart disease (I30-I52),persons,8813.0
2018,Unspecified dementia (F03),persons,8441.0
2019,Acute myocardial infarction (I21),persons,6915.0
2019,Cerebrovascular diseases (I60-I69),persons,9722.0
2019,Chronic ischaemic heart disease (I25),persons,10373.0
2019,Chronic lower respiratory diseases (J40-J47),persons,8363.0
2019,Ischaemic heart diseases (I20-I25),persons,17694.0
2019,Malignant neoplasm of bronchus and lung (C34),persons,8619.0
2019,Malignant neoplasms  (C00-C97),persons,47803.0
