year,cause,sex,deaths
2014,Abscess of anal and rectal regions (K61),females,1.0
2014,Abscess of anal and rectal regions (K61),males,3.0
2014,Abscess of anal and rectal regions (K61),persons,4.0
2014,Abscess of lung and mediastinum (J85),females,5.0
2014,Abscess of lung and mediastinum (J85),males,4.0
2014,Abscess of lung and mediastinum (J85),persons,9.0
2014,Abuse of non-dependence-producing substances (F55),females,1.0
2014,Abuse of non-dependence-producing substances (F55),persons,1.0
2014,Accident to powered aircraft causing injury to occupant (V95),females,4.0
2014,Accident to powered aircraft causing injury to occupant (V95),males,23.0
2014,Accident to powered aircraft causing injury to occupant (V95),persons,27.0
2014,Accident to watercraft causing drowning and submersion (V90),males,13.0
2014,Accident to watercraft causing drowning and submersion (V90),persons,13.0
2014,Accident to watercraft causing other injury (V91),females,1.0
2014,Accident to watercraft causing other injury (V91),males,6.0
2014,Accident to watercraft causing other injury (V91),persons,7.0
2014,Accidental drowning and submersion (W65-W74),females,41.0
2014,Accidental drowning and submersion (W65-W74),males,156.0
2014,Accidental drowning and submersion (W65-W74),persons,197.0
2014,Accidental exposure to other and unspecified factors (X58-X59),females,427.0
2014,Accidental exposure to other and unspecified factors (X58-X59),males,293.0
2014,Accidental exposure to other and unspecified factors (X58-X59),persons,720.0
2014,Accidental poisoning by and exposure to alcohol (X45),females,31.0
2014,Accidental poisoning by and exposure to alcohol (X45),males,68.0
2014,Accidental poisoning by and exposure to alcohol (X45),persons,99.0
2014,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified (X41)",females,50.0
2014,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified (X41)",males,110.0
2014,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified (X41)",persons,160.0
2014,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified (X42)",females,93.0
2014,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified (X42)",males,257.0
2014,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified (X42)",persons,350.0
2014,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics (X40)",females,11.0
2014,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics (X40)",males,7.0
2014,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics (X40)",persons,18.0
2014,Accidental poisoning by and exposure to noxious substances (X40-X49),females,415.0
2014,Accidental poisoning by and exposure to noxious substances (X40-X49),males,865.0
2014,Accidental poisoning by and exposure to noxious substances (X40-X49),persons,1280.0
2014,Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours (X46),males,1.0
2014,Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours (X46),persons,1.0
2014,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances (X49),females,3.0
2014,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances (X49),males,4.0
2014,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances (X49),persons,7.0
2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances (X44)",females,222.0
2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances (X44)",males,411.0
2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances (X44)",persons,633.0
2014,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system (X43),females,2.0
2014,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system (X43),males,1.0
2014,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system (X43),persons,3.0
2014,Accidental poisoning by and exposure to other gases and vapours (X47),females,3.0
2014,Accidental poisoning by and exposure to other gases and vapours (X47),males,5.0
2014,Accidental poisoning by and exposure to other gases and vapours (X47),persons,8.0
2014,Accidental poisoning by and exposure to pesticides (X48),males,1.0
2014,Accidental poisoning by and exposure to pesticides (X48),persons,1.0
2014,Accidental suffocation and strangulation in bed (W75),females,4.0
2014,Accidental suffocation and strangulation in bed (W75),males,6.0
2014,Accidental suffocation and strangulation in bed (W75),persons,10.0
2014,Acquired haemolytic anaemia (D59),females,6.0
2014,Acquired haemolytic anaemia (D59),males,9.0
2014,Acquired haemolytic anaemia (D59),persons,15.0
2014,Acquired pure red cell aplasia [erythroblastopenia] (D60),males,1.0
2014,Acquired pure red cell aplasia [erythroblastopenia] (D60),persons,1.0
2014,Acute and subacute endocarditis (I33),females,53.0
2014,Acute and subacute endocarditis (I33),males,66.0
2014,Acute and subacute endocarditis (I33),persons,119.0
2014,Acute and transient psychotic disorders (F23),males,1.0
2014,Acute and transient psychotic disorders (F23),persons,1.0
2014,Acute appendicitis (K35),females,4.0
2014,Acute appendicitis (K35),males,10.0
2014,Acute appendicitis (K35),persons,14.0
2014,Acute bronchiolitis (J21),females,4.0
2014,Acute bronchiolitis (J21),males,5.0
2014,Acute bronchiolitis (J21),persons,9.0
2014,Acute bronchitis (J20),females,6.0
2014,Acute bronchitis (J20),males,5.0
2014,Acute bronchitis (J20),persons,11.0
2014,Acute hepatitis B (B16),females,4.0
2014,Acute hepatitis B (B16),males,26.0
2014,Acute hepatitis B (B16),persons,30.0
2014,Acute laryngitis and tracheitis (J04),females,1.0
2014,Acute laryngitis and tracheitis (J04),persons,1.0
2014,Acute myocardial infarction (I21),females,4254.0
2014,Acute myocardial infarction (I21),males,4421.0
2014,Acute myocardial infarction (I21),persons,8675.0
2014,Acute myocarditis (I40),females,10.0
2014,Acute myocarditis (I40),males,11.0
2014,Acute myocarditis (I40),persons,21.0
2014,Acute nephritic syndrome (N00),females,6.0
2014,Acute nephritic syndrome (N00),males,8.0
2014,Acute nephritic syndrome (N00),persons,14.0
2014,Acute pancreatitis (K85),females,110.0
2014,Acute pancreatitis (K85),males,92.0
2014,Acute pancreatitis (K85),persons,202.0
2014,Acute pericarditis (I30),males,1.0
2014,Acute pericarditis (I30),persons,1.0
2014,Acute pharyngitis (J02),females,1.0
2014,Acute pharyngitis (J02),males,1.0
2014,Acute pharyngitis (J02),persons,2.0
2014,Acute renal failure (N17),females,190.0
2014,Acute renal failure (N17),males,137.0
2014,Acute renal failure (N17),persons,327.0
2014,Acute rheumatic fever (I00-I02),females,15.0
2014,Acute rheumatic fever (I00-I02),males,5.0
2014,Acute rheumatic fever (I00-I02),persons,20.0
2014,Acute sinusitis (J01),females,1.0
2014,Acute sinusitis (J01),persons,1.0
2014,Acute tubulo-interstitial nephritis (N10),females,4.0
2014,Acute tubulo-interstitial nephritis (N10),males,6.0
2014,Acute tubulo-interstitial nephritis (N10),persons,10.0
2014,Acute upper respiratory infections (J00-J06),females,6.0
2014,Acute upper respiratory infections (J00-J06),males,4.0
2014,Acute upper respiratory infections (J00-J06),persons,10.0
2014,Acute upper respiratory infections of multiple and unspecified sites (J06),females,3.0
2014,Acute upper respiratory infections of multiple and unspecified sites (J06),males,3.0
2014,Acute upper respiratory infections of multiple and unspecified sites (J06),persons,6.0
2014,Adrenogenital disorders (E25),males,1.0
2014,Adrenogenital disorders (E25),persons,1.0
2014,Adult respiratory distress syndrome (J80),females,12.0
2014,Adult respiratory distress syndrome (J80),males,12.0
2014,Adult respiratory distress syndrome (J80),persons,24.0
2014,Agents primarily acting on smooth and skeletal muscles and the respiratory system (Y55),males,1.0
2014,Agents primarily acting on smooth and skeletal muscles and the respiratory system (Y55),persons,1.0
2014,Agents primarily affecting blood constituents (Y44),females,7.0
2014,Agents primarily affecting blood constituents (Y44),males,4.0
2014,Agents primarily affecting blood constituents (Y44),persons,11.0
2014,Agranulocytosis (D70),females,21.0
2014,Agranulocytosis (D70),males,23.0
2014,Agranulocytosis (D70),persons,44.0
2014,Air and space transport accidents (V95-V97),females,4.0
2014,Air and space transport accidents (V95-V97),males,26.0
2014,Air and space transport accidents (V95-V97),persons,30.0
2014,Alcoholic liver disease (K70),females,217.0
2014,Alcoholic liver disease (K70),males,679.0
2014,Alcoholic liver disease (K70),persons,896.0
2014,Alzheimer disease (G30),females,2431.0
2014,Alzheimer disease (G30),males,1256.0
2014,Alzheimer disease (G30),persons,3687.0
2014,Amoebiasis (A06),males,1.0
2014,Amoebiasis (A06),persons,1.0
2014,Amyloidosis (E85),females,61.0
2014,Amyloidosis (E85),males,106.0
2014,Amyloidosis (E85),persons,167.0
2014,Anaesthetics and therapeutic gases (Y48),females,1.0
2014,Anaesthetics and therapeutic gases (Y48),males,2.0
2014,Anaesthetics and therapeutic gases (Y48),persons,3.0
2014,"Analgesics, antipyretics and anti-inflammatory drugs (Y45)",females,2.0
2014,"Analgesics, antipyretics and anti-inflammatory drugs (Y45)",males,2.0
2014,"Analgesics, antipyretics and anti-inflammatory drugs (Y45)",persons,4.0
2014,Anencephaly and similar malformations (Q00),females,6.0
2014,Anencephaly and similar malformations (Q00),males,4.0
2014,Anencephaly and similar malformations (Q00),persons,10.0
2014,Angina pectoris (I20),females,20.0
2014,Angina pectoris (I20),males,15.0
2014,Angina pectoris (I20),persons,35.0
2014,Animal-rider or occupant of animal-drawn vehicle injured in transport accident (V80),females,6.0
2014,Animal-rider or occupant of animal-drawn vehicle injured in transport accident (V80),males,3.0
2014,Animal-rider or occupant of animal-drawn vehicle injured in transport accident (V80),persons,9.0
2014,Ankylosing spondylitis (M45),males,3.0
2014,Ankylosing spondylitis (M45),persons,3.0
2014,Aortic aneurysm and dissection (I71),females,406.0
2014,Aortic aneurysm and dissection (I71),males,572.0
2014,Aortic aneurysm and dissection (I71),persons,978.0
2014,Aplastic and other anaemias (D60-D64),females,106.0
2014,Aplastic and other anaemias (D60-D64),males,77.0
2014,Aplastic and other anaemias (D60-D64),persons,183.0
2014,Arterial embolism and thrombosis (I74),females,13.0
2014,Arterial embolism and thrombosis (I74),males,11.0
2014,Arterial embolism and thrombosis (I74),persons,24.0
2014,Arthropathies (M00-M25),females,332.0
2014,Arthropathies (M00-M25),males,158.0
2014,Arthropathies (M00-M25),persons,490.0
2014,Arthrosis (M15-M19),females,100.0
2014,Arthrosis (M15-M19),males,25.0
2014,Arthrosis (M15-M19),persons,125.0
2014,Aspergillosis (B44),females,3.0
2014,Aspergillosis (B44),males,9.0
2014,Aspergillosis (B44),persons,12.0
2014,Assault (X85-Y09),females,94.0
2014,Assault (X85-Y09),males,165.0
2014,Assault (X85-Y09),persons,259.0
2014,Assault by blunt object (Y00),females,11.0
2014,Assault by blunt object (Y00),males,20.0
2014,Assault by blunt object (Y00),persons,31.0
2014,Assault by bodily force (Y04),females,13.0
2014,Assault by bodily force (Y04),males,34.0
2014,Assault by bodily force (Y04),persons,47.0
2014,Assault by crashing of motor vehicle (Y03),males,1.0
2014,Assault by crashing of motor vehicle (Y03),persons,1.0
2014,"Assault by drugs, medicaments and biological substances (X85)",females,2.0
2014,"Assault by drugs, medicaments and biological substances (X85)",persons,2.0
2014,Assault by gases and vapours (X88),females,1.0
2014,Assault by gases and vapours (X88),persons,1.0
2014,Assault by handgun discharge (X93),females,2.0
2014,Assault by handgun discharge (X93),males,8.0
2014,Assault by handgun discharge (X93),persons,10.0
2014,"Assault by hanging, strangulation and suffocation (X91)",females,14.0
2014,"Assault by hanging, strangulation and suffocation (X91)",males,3.0
2014,"Assault by hanging, strangulation and suffocation (X91)",persons,17.0
2014,Assault by other and unspecified firearm discharge (X95),males,4.0
2014,Assault by other and unspecified firearm discharge (X95),persons,4.0
2014,Assault by other specified means (Y08),males,2.0
2014,Assault by other specified means (Y08),persons,2.0
2014,"Assault by rifle, shotgun and larger firearm discharge (X94)",females,9.0
2014,"Assault by rifle, shotgun and larger firearm discharge (X94)",males,16.0
2014,"Assault by rifle, shotgun and larger firearm discharge (X94)",persons,25.0
2014,Assault by sharp object (X99),females,34.0
2014,Assault by sharp object (X99),males,66.0
2014,Assault by sharp object (X99),persons,100.0
2014,"Assault by smoke, fire and flames (X97)",females,1.0
2014,"Assault by smoke, fire and flames (X97)",males,1.0
2014,"Assault by smoke, fire and flames (X97)",persons,2.0
2014,Assault by unspecified means (Y09),females,7.0
2014,Assault by unspecified means (Y09),males,10.0
2014,Assault by unspecified means (Y09),persons,17.0
2014,Asthma (J45),females,275.0
2014,Asthma (J45),males,137.0
2014,Asthma (J45),persons,412.0
2014,Atherosclerosis (I70),females,78.0
2014,Atherosclerosis (I70),males,43.0
2014,Atherosclerosis (I70),persons,121.0
2014,Atrial fibrillation and flutter (I48),females,1221.0
2014,Atrial fibrillation and flutter (I48),males,720.0
2014,Atrial fibrillation and flutter (I48),persons,1941.0
2014,Atrioventricular and left bundle-branch block (I44),females,19.0
2014,Atrioventricular and left bundle-branch block (I44),males,25.0
2014,Atrioventricular and left bundle-branch block (I44),persons,44.0
2014,Bacterial infection of unspecified site (A49),females,31.0
2014,Bacterial infection of unspecified site (A49),males,55.0
2014,Bacterial infection of unspecified site (A49),persons,86.0
2014,"Bacterial meningitis, not elsewhere classified (G00)",females,8.0
2014,"Bacterial meningitis, not elsewhere classified (G00)",males,4.0
2014,"Bacterial meningitis, not elsewhere classified (G00)",persons,12.0
2014,"Bacterial pneumonia, not elsewhere classified (J15)",females,12.0
