country,iso3,sex,major_category,number_of_deaths,percentage_of_total_deaths
Afghanistan,AFG,persons,"Communicable, maternal, perinatal and nutritional conditions",133036.13,39.07
Afghanistan,AFG,persons,Noncommunicable diseases,116654.55,34.26
Afghanistan,AFG,persons,Injuries,78902.95,23.17
Afghanistan,AFG,males,"Communicable, maternal, perinatal and nutritional conditions",63318.5,18.59
Afghanistan,AFG,males,Noncommunicable diseases,49764.29,14.61
Afghanistan,AFG,males,Injuries,60688.99,17.82
Afghanistan,AFG,females,"Communicable, maternal, perinatal and nutritional conditions",69717.62,20.47
Afghanistan,AFG,females,Noncommunicable diseases,66890.25,19.64
Afghanistan,AFG,females,Injuries,18213.96,5.35
Albania,ALB,persons,"Communicable, maternal, perinatal and nutritional conditions",7753.27,23.01
Albania,ALB,persons,Noncommunicable diseases,22534.64,66.88
Albania,ALB,persons,Injuries,732.17,2.17
Albania,ALB,males,"Communicable, maternal, perinatal and nutritional conditions",4839.57,14.36
Albania,ALB,males,Noncommunicable diseases,10238.56,30.39
Albania,ALB,males,Injuries,506.44,1.5
Albania,ALB,females,"Communicable, maternal, perinatal and nutritional conditions",2913.7,8.65
Albania,ALB,females,Noncommunicable diseases,12296.08,36.49
Albania,ALB,females,Injuries,225.72,0.67
Algeria,DZA,persons,"Communicable, maternal, perinatal and nutritional conditions",37619.77,17.11
Algeria,DZA,persons,Noncommunicable diseases,162463.29,73.89
Algeria,DZA,persons,Injuries,14737.73,6.7
Algeria,DZA,males,"Communicable, maternal, perinatal and nutritional conditions",20858.78,9.49
Algeria,DZA,males,Noncommunicable diseases,69264.96,31.5
Algeria,DZA,males,Injuries,9867.64,4.49
Algeria,DZA,females,"Communicable, maternal, perinatal and nutritional conditions",16760.99,7.62
Algeria,DZA,females,Noncommunicable diseases,93198.33,42.39
Algeria,DZA,females,Injuries,4870.09,2.22
Angola,AGO,persons,"Communicable, maternal, perinatal and nutritional conditions",154307.41,56.39
Angola,AGO,persons,Noncommunicable diseases,96604.1,35.3
Angola,AGO,persons,Injuries,19631.55,7.17
Angola,AGO,males,"Communicable, maternal, perinatal and nutritional conditions",82087.68,30.0
Angola,AGO,males,Noncommunicable diseases,48608.45,17.76
Angola,AGO,males,Injuries,13457.03,4.92
Angola,AGO,females,"Communicable, maternal, perinatal and nutritional conditions",72219.73,26.39
Angola,AGO,females,Noncommunicable diseases,47995.65,17.54
Angola,AGO,females,Injuries,6174.52,2.26
Antigua and Barbuda,ATG,persons,"Communicable, maternal, perinatal and nutritional conditions",180.18,27.37
Antigua and Barbuda,ATG,persons,Noncommunicable diseases,457.92,69.56
Antigua and Barbuda,ATG,persons,Injuries,20.16,3.06
Antigua and Barbuda,ATG,males,"Communicable, maternal, perinatal and nutritional conditions",90.71,13.78
Antigua and Barbuda,ATG,males,Noncommunicable diseases,192.84,29.3
Antigua and Barbuda,ATG,males,Injuries,14.0,2.13
Antigua and Barbuda,ATG,females,"Communicable, maternal, perinatal and nutritional conditions",89.47,13.59
Antigua and Barbuda,ATG,females,Noncommunicable diseases,265.08,40.27
Antigua and Barbuda,ATG,females,Injuries,6.17,0.94
Argentina,ARG,persons,"Communicable, maternal, perinatal and nutritional conditions",154398.87,35.62
Argentina,ARG,persons,Noncommunicable diseases,262325.05,60.51
Argentina,ARG,persons,Injuries,16798.02,3.87
Argentina,ARG,males,"Communicable, maternal, perinatal and nutritional conditions",85854.04,19.8
Argentina,ARG,males,Noncommunicable diseases,132453.85,30.55
Argentina,ARG,males,Injuries,12326.3,2.84
Argentina,ARG,females,"Communicable, maternal, perinatal and nutritional conditions",68544.83,15.81
Argentina,ARG,females,Noncommunicable diseases,129871.19,29.96
Argentina,ARG,females,Injuries,4471.72,1.03
Armenia,ARM,persons,"Communicable, maternal, perinatal and nutritional conditions",8795.42,24.57
Armenia,ARM,persons,Noncommunicable diseases,25754.61,71.94
Armenia,ARM,persons,Injuries,1252.0,3.5
Armenia,ARM,males,"Communicable, maternal, perinatal and nutritional conditions",4702.79,13.14
Armenia,ARM,males,Noncommunicable diseases,14142.36,39.5
Armenia,ARM,males,Injuries,978.73,2.73
Armenia,ARM,females,"Communicable, maternal, perinatal and nutritional conditions",4092.63,11.43
Armenia,ARM,females,Noncommunicable diseases,11612.25,32.43
Armenia,ARM,females,Injuries,273.28,0.76
Australia,AUS,persons,"Communicable, maternal, perinatal and nutritional conditions",7284.07,4.19
Australia,AUS,persons,Noncommunicable diseases,155629.06,89.63
Australia,AUS,persons,Injuries,10727.17,6.18
Australia,AUS,males,"Communicable, maternal, perinatal and nutritional conditions",3630.98,2.09
Australia,AUS,males,Noncommunicable diseases,80007.07,46.08
Australia,AUS,males,Injuries,6721.87,3.87
Australia,AUS,females,"Communicable, maternal, perinatal and nutritional conditions",3653.09,2.1
Australia,AUS,females,Noncommunicable diseases,75621.99,43.55
Australia,AUS,females,Injuries,4005.3,2.31
Austria,AUT,persons,"Communicable, maternal, perinatal and nutritional conditions",10608.02,11.3
Austria,AUT,persons,Noncommunicable diseases,78439.64,83.53
Austria,AUT,persons,Injuries,4860.21,5.18
Austria,AUT,males,"Communicable, maternal, perinatal and nutritional conditions",5558.98,5.92
Austria,AUT,males,Noncommunicable diseases,38133.52,40.61
Austria,AUT,males,Injuries,3055.54,3.25
Austria,AUT,females,"Communicable, maternal, perinatal and nutritional conditions",5049.04,5.38
Austria,AUT,females,Noncommunicable diseases,40306.11,42.92
Austria,AUT,females,Injuries,1804.67,1.92
Azerbaijan,AZE,persons,"Communicable, maternal, perinatal and nutritional conditions",21032.47,29.08
Azerbaijan,AZE,persons,Noncommunicable diseases,42501.48,58.76
Azerbaijan,AZE,persons,Injuries,3069.79,4.24
