age_group,cause,deaths,percent,country
All ages,"Communicable, maternal, perinatal and nutritional conditions",266072.25,40.49,Afghanistan
All ages,Injuries,157805.9,24.01,Afghanistan
All ages,Noncommunicable diseases,233309.1,35.5,Afghanistan
All ages,"Communicable, maternal, perinatal and nutritional conditions",15506.54,24.99,Albania
All ages,Injuries,1464.33,2.36,Albania
All ages,Noncommunicable diseases,45069.28,72.65,Albania
All ages,"Communicable, maternal, perinatal and nutritional conditions",75239.54,17.51,Algeria
All ages,Injuries,29475.46,6.86,Algeria
All ages,Noncommunicable diseases,324926.58,75.63,Algeria
All ages,"Communicable, maternal, perinatal and nutritional conditions",308614.83,57.04,Angola
All ages,Injuries,39263.1,7.26,Angola
All ages,Noncommunicable diseases,193208.19,35.71,Angola
All ages,"Communicable, maternal, perinatal and nutritional conditions",360.36,27.37,Antigua and Barbuda
All ages,Injuries,40.33,3.06,Antigua and Barbuda
All ages,Noncommunicable diseases,915.83,69.56,Antigua and Barbuda
All ages,"Communicable, maternal, perinatal and nutritional conditions",308797.75,35.62,Argentina
All ages,Injuries,33596.04,3.87,Argentina
All ages,Noncommunicable diseases,524650.1,60.51,Argentina
All ages,"Communicable, maternal, perinatal and nutritional conditions",17590.83,24.57,Armenia
All ages,Injuries,2504.01,3.5,Armenia
All ages,Noncommunicable diseases,51509.22,71.94,Armenia
All ages,"Communicable, maternal, perinatal and nutritional conditions",14568.14,4.19,Australia
All ages,Injuries,21454.33,6.18,Australia
All ages,Noncommunicable diseases,311258.11,89.63,Australia
All ages,"Communicable, maternal, perinatal and nutritional conditions",21216.04,11.3,Austria
All ages,Injuries,9720.42,5.18,Austria
All ages,Noncommunicable diseases,156879.27,83.53,Austria
All ages,"Communicable, maternal, perinatal and nutritional conditions",42064.94,31.58,Azerbaijan
All ages,Injuries,6139.58,4.61,Azerbaijan
All ages,Noncommunicable diseases,85002.96,63.81,Azerbaijan
All ages,"Communicable, maternal, perinatal and nutritional conditions",2359.97,27.68,Bahamas
All ages,Injuries,716.46,8.4,Bahamas
All ages,Noncommunicable diseases,5449.33,63.92,Bahamas
All ages,"Communicable, maternal, perinatal and nutritional conditions",2104.6,17.75,Bahrain
All ages,Injuries,641.74,5.41,Bahrain
All ages,Noncommunicable diseases,9110.83,76.84,Bahrain
All ages,"Communicable, maternal, perinatal and nutritional conditions",493215.8,27.76,Bangladesh
All ages,Injuries,126637.69,7.13,Bangladesh
All ages,Noncommunicable diseases,1157170.08,65.12,Bangladesh
All ages,"Communicable, maternal, perinatal and nutritional conditions",858.89,16.44,Barbados
All ages,Injuries,229.01,4.38,Barbados
All ages,Noncommunicable diseases,4137.56,79.18,Barbados
All ages,"Communicable, maternal, perinatal and nutritional conditions",42929.21,16.81,Belarus
All ages,Injuries,10489.54,4.11,Belarus
All ages,Noncommunicable diseases,202011.28,79.09,Belarus
All ages,"Communicable, maternal, perinatal and nutritional conditions",40119.34,17.9,Belgium
All ages,Injuries,13991.9,6.24,Belgium
All ages,Noncommunicable diseases,169985.22,75.85,Belgium
All ages,"Communicable, maternal, perinatal and nutritional conditions",1053.34,28.13,Belize
All ages,Injuries,604.22,16.13,Belize
All ages,Noncommunicable diseases,2087.32,55.74,Belize
All ages,"Communicable, maternal, perinatal and nutritional conditions",106345.91,53.97,Benin
All ages,Injuries,18481.66,9.38,Benin
All ages,Noncommunicable diseases,72206.81,36.65,Benin
All ages,"Communicable, maternal, perinatal and nutritional conditions",1395.26,18.43,Bhutan
All ages,Injuries,753.1,9.95,Bhutan
All ages,Noncommunicable diseases,5421.07,71.62,Bhutan
All ages,"Communicable, maternal, perinatal and nutritional conditions",103704.12,51.05,Bolivia (Plurinational State of)
All ages,Injuries,12766.48,6.28,Bolivia (Plurinational State of)
All ages,Noncommunicable diseases,86675.13,42.67,Bolivia (Plurinational State of)
All ages,"Communicable, maternal, perinatal and nutritional conditions",24743.06,22.23,Bosnia and Herzegovina
All ages,Injuries,2450.91,2.2,Bosnia and Herzegovina
All ages,Noncommunicable diseases,84124.8,75.57,Bosnia and Herzegovina
All ages,"Communicable, maternal, perinatal and nutritional conditions",26628.18,63.14,Botswana
All ages,Injuries,2675.77,6.34,Botswana
All ages,Noncommunicable diseases,12871.42,30.52,Botswana
All ages,"Communicable, maternal, perinatal and nutritional conditions",1300050.9,34.09,Brazil
All ages,Injuries,322424.15,8.46,Brazil
All ages,Noncommunicable diseases,2190915.09,57.45,Brazil
All ages,"Communicable, maternal, perinatal and nutritional conditions",567.16,14.42,Brunei Darussalam
