country,iso3,sex,major_category,number_of_deaths,percentage_of_total_deaths,Year
Afghanistan,AFG,persons,"Communicable, maternal, perinatal and nutritional conditions",155691.97,60.96,2000
Afghanistan,AFG,persons,Noncommunicable diseases,75383.5,29.52,2000
Afghanistan,AFG,persons,Injuries,24314.48,9.52,2000
Afghanistan,AFG,males,"Communicable, maternal, perinatal and nutritional conditions",74553.32,29.19,2000
Afghanistan,AFG,males,Noncommunicable diseases,37512.84,14.69,2000
Afghanistan,AFG,males,Injuries,18348.45,7.18,2000
Afghanistan,AFG,females,"Communicable, maternal, perinatal and nutritional conditions",81138.65,31.77,2000
Afghanistan,AFG,females,Noncommunicable diseases,37870.67,14.83,2000
Afghanistan,AFG,females,Injuries,5966.03,2.34,2000
Albania,ALB,persons,"Communicable, maternal, perinatal and nutritional conditions",1798.18,8.73,2000
Albania,ALB,persons,Noncommunicable diseases,17297.56,83.99,2000
Albania,ALB,persons,Injuries,1500.1,7.28,2000
Albania,ALB,males,"Communicable, maternal, perinatal and nutritional conditions",1005.89,4.88,2000
Albania,ALB,males,Noncommunicable diseases,9255.54,44.94,2000
Albania,ALB,males,Injuries,1145.21,5.56,2000
Albania,ALB,females,"Communicable, maternal, perinatal and nutritional conditions",792.29,3.85,2000
Albania,ALB,females,Noncommunicable diseases,8042.02,39.05,2000
Albania,ALB,females,Injuries,354.89,1.72,2000
Algeria,DZA,persons,"Communicable, maternal, perinatal and nutritional conditions",27119.02,19.41,2000
Algeria,DZA,persons,Noncommunicable diseases,95796.54,68.58,2000
Algeria,DZA,persons,Injuries,16769.92,12.01,2000
Algeria,DZA,males,"Communicable, maternal, perinatal and nutritional conditions",14125.59,10.11,2000
Algeria,DZA,males,Noncommunicable diseases,49360.13,35.34,2000
Algeria,DZA,males,Injuries,12392.08,8.87,2000
Algeria,DZA,females,"Communicable, maternal, perinatal and nutritional conditions",12993.43,9.3,2000
Algeria,DZA,females,Noncommunicable diseases,46436.41,33.24,2000
Algeria,DZA,females,Injuries,4377.84,3.13,2000
Angola,AGO,persons,"Communicable, maternal, perinatal and nutritional conditions",192618.41,72.88,2000
Angola,AGO,persons,Noncommunicable diseases,54210.15,20.51,2000
Angola,AGO,persons,Injuries,17465.32,6.61,2000
Angola,AGO,males,"Communicable, maternal, perinatal and nutritional conditions",100469.31,38.01,2000
Angola,AGO,males,Noncommunicable diseases,28527.76,10.79,2000
Angola,AGO,males,Injuries,12692.1,4.8,2000
Angola,AGO,females,"Communicable, maternal, perinatal and nutritional conditions",92149.1,34.87,2000
Angola,AGO,females,Noncommunicable diseases,25682.39,9.72,2000
Angola,AGO,females,Injuries,4773.21,1.81,2000
Antigua and Barbuda,ATG,persons,"Communicable, maternal, perinatal and nutritional conditions",67.22,13.28,2000
Antigua and Barbuda,ATG,persons,Noncommunicable diseases,410.01,81.02,2000
Antigua and Barbuda,ATG,persons,Injuries,28.85,5.7,2000
Antigua and Barbuda,ATG,males,"Communicable, maternal, perinatal and nutritional conditions",28.21,5.57,2000
Antigua and Barbuda,ATG,males,Noncommunicable diseases,189.07,37.36,2000
Antigua and Barbuda,ATG,males,Injuries,23.01,4.55,2000
Antigua and Barbuda,ATG,females,"Communicable, maternal, perinatal and nutritional conditions",39.01,7.71,2000
Antigua and Barbuda,ATG,females,Noncommunicable diseases,220.95,43.66,2000
Antigua and Barbuda,ATG,females,Injuries,5.83,1.15,2000
Argentina,ARG,persons,"Communicable, maternal, perinatal and nutritional conditions",34990.96,12.7,2000
Argentina,ARG,persons,Noncommunicable diseases,221223.35,80.28,2000
Argentina,ARG,persons,Injuries,19351.67,7.02,2000
Argentina,ARG,males,"Communicable, maternal, perinatal and nutritional conditions",18270.48,6.63,2000
Argentina,ARG,males,Noncommunicable diseases,118162.39,42.88,2000
Argentina,ARG,males,Injuries,14565.32,5.29,2000
Argentina,ARG,females,"Communicable, maternal, perinatal and nutritional conditions",16720.48,6.07,2000
Argentina,ARG,females,Noncommunicable diseases,103060.96,37.4,2000
Argentina,ARG,females,Injuries,4786.35,1.74,2000
Armenia,ARM,persons,"Communicable, maternal, perinatal and nutritional conditions",1255.3,5.2,2000
Armenia,ARM,persons,Noncommunicable diseases,21721.69,90.01,2000
Armenia,ARM,persons,Injuries,1155.23,4.79,2000
Armenia,ARM,males,"Communicable, maternal, perinatal and nutritional conditions",756.42,3.13,2000
Armenia,ARM,males,Noncommunicable diseases,10758.75,44.58,2000
Armenia,ARM,males,Injuries,882.37,3.66,2000
Armenia,ARM,females,"Communicable, maternal, perinatal and nutritional conditions",498.88,2.07,2000
Armenia,ARM,females,Noncommunicable diseases,10962.93,45.43,2000
Armenia,ARM,females,Injuries,272.86,1.13,2000
Australia,AUS,persons,"Communicable, maternal, perinatal and nutritional conditions",5588.96,4.41,2000
Australia,AUS,persons,Noncommunicable diseases,113692.99,89.72,2000
Australia,AUS,persons,Injuries,7438.97,5.87,2000
Australia,AUS,males,"Communicable, maternal, perinatal and nutritional conditions",2681.14,2.12,2000
Australia,AUS,males,Noncommunicable diseases,58469.27,46.14,2000
Australia,AUS,males,Injuries,5054.01,3.99,2000
Australia,AUS,females,"Communicable, maternal, perinatal and nutritional conditions",2907.82,2.29,2000
Australia,AUS,females,Noncommunicable diseases,55223.72,43.58,2000
Australia,AUS,females,Injuries,2384.95,1.88,2000
Austria,AUT,persons,"Communicable, maternal, perinatal and nutritional conditions",2070.06,2.69,2000
Austria,AUT,persons,Noncommunicable diseases,70529.27,91.66,2000
Austria,AUT,persons,Injuries,4345.28,5.65,2000
Austria,AUT,males,"Communicable, maternal, perinatal and nutritional conditions",889.53,1.16,2000
Austria,AUT,males,Noncommunicable diseases,31462.23,40.89,2000
Austria,AUT,males,Injuries,2926.67,3.8,2000
Austria,AUT,females,"Communicable, maternal, perinatal and nutritional conditions",1180.53,1.53,2000
Austria,AUT,females,Noncommunicable diseases,39067.03,50.77,2000
Austria,AUT,females,Injuries,1418.62,1.84,2000
Azerbaijan,AZE,persons,"Communicable, maternal, perinatal and nutritional conditions",10830.98,17.52,2000
Azerbaijan,AZE,persons,Noncommunicable diseases,46686.97,75.51,2000
Azerbaijan,AZE,persons,Injuries,4308.92,6.97,2000
Azerbaijan,AZE,males,"Communicable, maternal, perinatal and nutritional conditions",6288.65,10.17,2000
Azerbaijan,AZE,males,Noncommunicable diseases,22697.91,36.71,2000
Azerbaijan,AZE,males,Injuries,3130.35,5.06,2000
Azerbaijan,AZE,females,"Communicable, maternal, perinatal and nutritional conditions",4542.33,7.35,2000
Azerbaijan,AZE,females,Noncommunicable diseases,23989.06,38.8,2000
Azerbaijan,AZE,females,Injuries,1178.57,1.91,2000
Bahamas,BHS,persons,"Communicable, maternal, perinatal and nutritional conditions",481.83,20.62,2000
Bahamas,BHS,persons,Noncommunicable diseases,1616.71,69.19,2000
Bahamas,BHS,persons,Injuries,237.98,10.19,2000
Bahamas,BHS,males,"Communicable, maternal, perinatal and nutritional conditions",275.14,11.78,2000
Bahamas,BHS,males,Noncommunicable diseases,863.98,36.98,2000
Bahamas,BHS,males,Injuries,187.27,8.01,2000
Bahamas,BHS,females,"Communicable, maternal, perinatal and nutritional conditions",206.7,8.85,2000
Bahamas,BHS,females,Noncommunicable diseases,752.73,32.22,2000
Bahamas,BHS,females,Injuries,50.71,2.17,2000
Bahrain,BHR,persons,"Communicable, maternal, perinatal and nutritional conditions",174.07,6.12,2000
Bahrain,BHR,persons,Noncommunicable diseases,2229.01,78.41,2000
Bahrain,BHR,persons,Injuries,439.51,15.46,2000
Bahrain,BHR,males,"Communicable, maternal, perinatal and nutritional conditions",102.49,3.61,2000
Bahrain,BHR,males,Noncommunicable diseases,1309.23,46.06,2000
Bahrain,BHR,males,Injuries,367.21,12.92,2000
Bahrain,BHR,females,"Communicable, maternal, perinatal and nutritional conditions",71.58,2.52,2000
Bahrain,BHR,females,Noncommunicable diseases,919.78,32.36,2000
Bahrain,BHR,females,Injuries,72.3,2.54,2000
Bangladesh,BGD,persons,"Communicable, maternal, perinatal and nutritional conditions",461903.06,50.97,2000
Bangladesh,BGD,persons,Noncommunicable diseases,384719.15,42.45,2000
Bangladesh,BGD,persons,Injuries,59656.35,6.58,2000
Bangladesh,BGD,males,"Communicable, maternal, perinatal and nutritional conditions",240957.41,26.59,2000
Bangladesh,BGD,males,Noncommunicable diseases,233696.89,25.79,2000
Bangladesh,BGD,males,Injuries,41138.68,4.54,2000
Bangladesh,BGD,females,"Communicable, maternal, perinatal and nutritional conditions",220945.65,24.38,2000
Bangladesh,BGD,females,Noncommunicable diseases,151022.26,16.66,2000
Bangladesh,BGD,females,Injuries,18517.67,2.04,2000
Barbados,BRB,persons,"Communicable, maternal, perinatal and nutritional conditions",274.16,12.04,2000
Barbados,BRB,persons,Noncommunicable diseases,1882.11,82.62,2000
Barbados,BRB,persons,Injuries,121.65,5.34,2000
Barbados,BRB,males,"Communicable, maternal, perinatal and nutritional conditions",144.55,6.35,2000
Barbados,BRB,males,Noncommunicable diseases,836.01,36.7,2000
Barbados,BRB,males,Injuries,91.16,4.0,2000
Barbados,BRB,females,"Communicable, maternal, perinatal and nutritional conditions",129.61,5.69,2000
Barbados,BRB,females,Noncommunicable diseases,1046.09,45.92,2000
Barbados,BRB,females,Injuries,30.49,1.34,2000
Belarus,BLR,persons,"Communicable, maternal, perinatal and nutritional conditions",2809.46,2.05,2000
Belarus,BLR,persons,Noncommunicable diseases,121095.39,88.27,2000
Belarus,BLR,persons,Injuries,13281.59,9.68,2000
Belarus,BLR,males,"Communicable, maternal, perinatal and nutritional conditions",2017.77,1.47,2000
Belarus,BLR,males,Noncommunicable diseases,57402.38,41.84,2000
Belarus,BLR,males,Injuries,10495.72,7.65,2000
Belarus,BLR,females,"Communicable, maternal, perinatal and nutritional conditions",791.69,0.58,2000
Belarus,BLR,females,Noncommunicable diseases,63693.01,46.43,2000
Belarus,BLR,females,Injuries,2785.87,2.03,2000
Belgium,BEL,persons,"Communicable, maternal, perinatal and nutritional conditions",7985.71,7.61,2000
Belgium,BEL,persons,Noncommunicable diseases,90185.29,85.89,2000
Belgium,BEL,persons,Injuries,6826.91,6.5,2000
Belgium,BEL,males,"Communicable, maternal, perinatal and nutritional conditions",3581.58,3.41,2000
Belgium,BEL,males,Noncommunicable diseases,44565.78,42.44,2000
Belgium,BEL,males,Injuries,4224.97,4.02,2000
Belgium,BEL,females,"Communicable, maternal, perinatal and nutritional conditions",4404.13,4.19,2000
Belgium,BEL,females,Noncommunicable diseases,45619.51,43.45,2000
Belgium,BEL,females,Injuries,2601.94,2.48,2000
Belize,BLZ,persons,"Communicable, maternal, perinatal and nutritional conditions",263.38,21.08,2000
Belize,BLZ,persons,Noncommunicable diseases,760.22,60.86,2000
Belize,BLZ,persons,Injuries,225.61,18.06,2000
Belize,BLZ,males,"Communicable, maternal, perinatal and nutritional conditions",154.13,12.34,2000
Belize,BLZ,males,Noncommunicable diseases,429.43,34.38,2000
Belize,BLZ,males,Injuries,178.19,14.26,2000
Belize,BLZ,females,"Communicable, maternal, perinatal and nutritional conditions",109.25,8.75,2000
Belize,BLZ,females,Noncommunicable diseases,330.79,26.48,2000
Belize,BLZ,females,Injuries,47.42,3.8,2000
Benin,BEN,persons,"Communicable, maternal, perinatal and nutritional conditions",55518.03,67.69,2000
Benin,BEN,persons,Noncommunicable diseases,21755.15,26.52,2000
Benin,BEN,persons,Injuries,4748.97,5.79,2000
Benin,BEN,males,"Communicable, maternal, perinatal and nutritional conditions",28270.22,34.47,2000
Benin,BEN,males,Noncommunicable diseases,11046.35,13.47,2000
Benin,BEN,males,Injuries,3254.41,3.97,2000
Benin,BEN,females,"Communicable, maternal, perinatal and nutritional conditions",27247.8,33.22,2000
Benin,BEN,females,Noncommunicable diseases,10708.8,13.06,2000
Benin,BEN,females,Injuries,1494.56,1.82,2000
Bhutan,BTN,persons,"Communicable, maternal, perinatal and nutritional conditions",1649.5,42.03,2000
Bhutan,BTN,persons,Noncommunicable diseases,1765.29,44.98,2000
Bhutan,BTN,persons,Injuries,509.65,12.99,2000
Bhutan,BTN,males,"Communicable, maternal, perinatal and nutritional conditions",819.64,20.89,2000
Bhutan,BTN,males,Noncommunicable diseases,950.33,24.22,2000
Bhutan,BTN,males,Injuries,294.78,7.51,2000
Bhutan,BTN,females,"Communicable, maternal, perinatal and nutritional conditions",829.86,21.15,2000
Bhutan,BTN,females,Noncommunicable diseases,814.96,20.77,2000
Bhutan,BTN,females,Injuries,214.87,5.48,2000
Bolivia (Plurinational State of),BOL,persons,"Communicable, maternal, perinatal and nutritional conditions",26707.95,38.9,2000
Bolivia (Plurinational State of),BOL,persons,Noncommunicable diseases,35985.5,52.41,2000
Bolivia (Plurinational State of),BOL,persons,Injuries,5966.45,8.69,2000
Bolivia (Plurinational State of),BOL,males,"Communicable, maternal, perinatal and nutritional conditions",13651.45,19.88,2000
Bolivia (Plurinational State of),BOL,males,Noncommunicable diseases,17083.6,24.88,2000
Bolivia (Plurinational State of),BOL,males,Injuries,4160.87,6.06,2000
Bolivia (Plurinational State of),BOL,females,"Communicable, maternal, perinatal and nutritional conditions",13056.5,19.02,2000
Bolivia (Plurinational State of),BOL,females,Noncommunicable diseases,18901.9,27.53,2000
Bolivia (Plurinational State of),BOL,females,Injuries,1805.59,2.63,2000
Bosnia and Herzegovina,BIH,persons,"Communicable, maternal, perinatal and nutritional conditions",921.77,3.09,2000
Bosnia and Herzegovina,BIH,persons,Noncommunicable diseases,27023.54,90.49,2000
Bosnia and Herzegovina,BIH,persons,Injuries,1918.72,6.42,2000
Bosnia and Herzegovina,BIH,males,"Communicable, maternal, perinatal and nutritional conditions",476.29,1.59,2000
Bosnia and Herzegovina,BIH,males,Noncommunicable diseases,12374.38,41.44,2000
Bosnia and Herzegovina,BIH,males,Injuries,1346.71,4.51,2000
Bosnia and Herzegovina,BIH,females,"Communicable, maternal, perinatal and nutritional conditions",445.48,1.49,2000
Bosnia and Herzegovina,BIH,females,Noncommunicable diseases,14649.16,49.05,2000
Bosnia and Herzegovina,BIH,females,Injuries,572.02,1.92,2000
Botswana,BWA,persons,"Communicable, maternal, perinatal and nutritional conditions",21087.04,78.21,2000
Botswana,BWA,persons,Noncommunicable diseases,4593.67,17.04,2000
Botswana,BWA,persons,Injuries,1280.65,4.75,2000
Botswana,BWA,males,"Communicable, maternal, perinatal and nutritional conditions",10634.21,39.44,2000
Botswana,BWA,males,Noncommunicable diseases,2748.78,10.2,2000
Botswana,BWA,males,Injuries,996.18,3.69,2000
Botswana,BWA,females,"Communicable, maternal, perinatal and nutritional conditions",10452.83,38.77,2000
Botswana,BWA,females,Noncommunicable diseases,1844.89,6.84,2000
Botswana,BWA,females,Injuries,284.47,1.06,2000
Brazil,BRA,persons,"Communicable, maternal, perinatal and nutritional conditions",176990.84,18.68,2000
Brazil,BRA,persons,Noncommunicable diseases,646896.77,68.28,2000
Brazil,BRA,persons,Injuries,123557.34,13.04,2000
Brazil,BRA,males,"Communicable, maternal, perinatal and nutritional conditions",100406.47,10.6,2000
Brazil,BRA,males,Noncommunicable diseases,347021.51,36.63,2000
Brazil,BRA,males,Injuries,103537.71,10.93,2000
Brazil,BRA,females,"Communicable, maternal, perinatal and nutritional conditions",76584.37,8.08,2000
Brazil,BRA,females,Noncommunicable diseases,299875.26,31.65,2000
Brazil,BRA,females,Injuries,20019.63,2.11,2000
Brunei Darussalam,BRN,persons,"Communicable, maternal, perinatal and nutritional conditions",94.38,9.64,2000
Brunei Darussalam,BRN,persons,Noncommunicable diseases,770.55,78.67,2000
Brunei Darussalam,BRN,persons,Injuries,114.54,11.69,2000
